,Date,China,Taiwan,US,Canada
0,2020-01-22,548.0,1.0,1.0,0.0
1,2020-01-23,95.0,0.0,0.0,0.0
2,2020-01-24,277.0,2.0,1.0,0.0
3,2020-01-25,486.0,0.0,0.0,0.0
4,2020-01-26,669.0,1.0,3.0,1.0
5,2020-01-27,802.0,1.0,0.0,0.0
6,2020-01-28,2632.0,3.0,0.0,1.0
7,2020-01-29,578.0,0.0,0.0,0.0
8,2020-01-30,2054.0,1.0,0.0,0.0
9,2020-01-31,1661.0,1.0,2.0,2.0
10,2020-02-01,2089.0,0.0,1.0,0.0
11,2020-02-02,4739.0,0.0,0.0,0.0
12,2020-02-03,3086.0,0.0,3.0,0.0
13,2020-02-04,3991.0,1.0,0.0,0.0
14,2020-02-05,3733.0,0.0,0.0,1.0
15,2020-02-06,3147.0,5.0,0.0,0.0
16,2020-02-07,3523.0,0.0,0.0,2.0
17,2020-02-08,2704.0,1.0,0.0,0.0
18,2020-02-09,3015.0,1.0,0.0,0.0
19,2020-02-10,2525.0,0.0,0.0,0.0
20,2020-02-11,2032.0,0.0,1.0,0.0
21,2020-02-12,373.0,0.0,0.0,0.0
22,2020-02-13,642.3358778625955,0.0,1.0,0.0
23,2020-02-14,6463.0,0.0,0.0,0.0
24,2020-02-15,2055.0,0.0,0.0,0.0
25,2020-02-16,2100.0,2.0,0.0,0.0
26,2020-02-17,1921.0,2.0,0.0,1.0
27,2020-02-18,1777.0,0.0,0.0,0.0
28,2020-02-19,408.0,1.0,0.0,0.0
29,2020-02-20,458.0,1.0,0.0,0.0
30,2020-02-21,473.0,2.0,2.0,1.0
31,2020-02-22,1451.0,0.0,0.0,0.0
32,2020-02-23,21.0,2.0,0.0,0.0
33,2020-02-24,219.0,2.0,0.0,1.0
34,2020-02-25,513.0,1.0,0.0,1.0
35,2020-02-26,412.0,1.0,0.0,0.0
36,2020-02-27,434.0,0.0,1.0,2.0
37,2020-02-28,328.0,2.0,0.0,1.0
38,2020-02-29,428.0,5.0,8.0,6.0
39,2020-03-01,576.0,1.0,6.0,4.0
40,2020-03-02,204.0,1.0,23.0,3.0
41,2020-03-03,125.0,1.0,20.0,3.0
42,2020-03-04,125.0,0.0,31.0,3.0
43,2020-03-05,151.0,2.0,70.0,4.0
44,2020-03-06,153.0,1.0,48.0,12.0
45,2020-03-07,80.0,0.0,115.0,5.0
46,2020-03-08,53.0,0.0,114.0,10.0
47,2020-03-09,37.0,0.0,68.0,13.0
48,2020-03-10,27.0,2.0,192.0,2.0
49,2020-03-11,34.0,1.0,398.0,29.0
50,2020-03-12,11.0,1.0,452.0,9.0
51,2020-03-13,13.0,1.0,596.0,76.0
52,2020-03-14,32.0,3.0,713.0,5.0
53,2020-03-15,26.0,6.0,98.0,54.0
54,2020-03-16,30.0,8.0,1392.0,163.0
55,2020-03-17,25.0,10.0,1781.0,63.0
56,2020-03-18,44.0,23.0,2776.0,179.0
57,2020-03-19,54.0,8.0,5240.0,143.0
58,2020-03-20,94.0,27.0,5322.0,143.0
59,2020-03-21,55.0,18.0,6346.0,334.0
60,2020-03-22,130.0,16.0,7936.0,192.0
61,2020-03-23,63.0,26.0,10089.0,619.0
62,2020-03-24,93.0,20.0,10262.0,702.0
63,2020-03-25,70.0,20.0,11943.0,461.0
64,2020-03-26,121.0,17.0,18036.0,791.0
65,2020-03-27,115.0,15.0,18185.0,640.0
66,2020-03-28,102.0,16.0,19793.0,894.0
67,2020-03-29,123.0,15.0,19136.0,704.0
68,2020-03-30,76.0,8.0,21502.0,1118.0
69,2020-03-31,81.0,16.0,26017.0,1129.0
70,2020-04-01,82.0,7.0,25481.0,1033.0
71,2020-04-02,71.0,10.0,30405.0,1724.0
72,2020-04-03,79.0,9.0,31937.0,1153.0
73,2020-04-04,32.0,7.0,33152.0,541.0
74,2020-04-05,59.0,8.0,27874.0,2778.0
75,2020-04-06,63.0,10.0,29642.0,807.0
76,2020-04-07,53.0,3.0,30777.0,1309.0
77,2020-04-08,91.0,3.0,31694.0,1269.0
78,2020-04-09,74.0,1.0,34756.0,1513.0
79,2020-04-10,58.0,2.0,33501.0,1405.0
80,2020-04-11,73.0,3.0,30026.0,1257.0
81,2020-04-12,120.0,3.0,28553.0,983.0
82,2020-04-13,79.0,5.0,25291.0,1381.0
83,2020-04-14,93.0,0.0,27065.0,1355.0
84,2020-04-15,50.0,2.0,29096.0,1174.0
85,2020-04-16,47.0,0.0,31298.0,2600.0
86,2020-04-17,357.0,0.0,32724.0,2005.0
87,2020-04-18,27.0,3.0,28341.0,1542.0
88,2020-04-19,18.0,22.0,26038.0,1277.0
89,2020-04-20,12.0,2.0,27341.0,2025.0
90,2020-04-21,36.0,3.0,25602.0,1744.0
91,2020-04-22,15.0,1.0,28104.0,2261.0
92,2020-04-23,16.0,1.0,34195.0,1636.0
93,2020-04-24,15.0,1.0,36291.0,1620.0
94,2020-04-25,10.0,1.0,32921.0,1452.0
95,2020-04-26,3.0,0.0,27689.0,1662.0
96,2020-04-27,6.0,0.0,22465.0,1583.0
97,2020-04-28,22.0,0.0,24535.0,1534.0
98,2020-04-29,4.0,0.0,27520.0,1715.0
99,2020-04-30,12.0,0.0,29629.0,1592.0
100,2020-05-01,3.0,0.0,34162.0,1886.0
101,2020-05-02,0.0,3.0,29195.0,1583.0
102,2020-05-03,5.0,4.0,25587.0,2578.0
103,2020-05-04,2.0,2.0,22475.0,1453.0
104,2020-05-05,2.0,0.0,24185.0,1258.0
105,2020-05-06,2.0,1.0,25256.0,1479.0
106,2020-05-07,5.0,1.0,27882.0,1507.0
107,2020-05-08,1.0,0.0,27178.0,1473.0
108,2020-05-09,14.0,0.0,25733.0,1244.0
109,2020-05-10,20.0,0.0,19764.0,1173.0
110,2020-05-11,1.0,0.0,18878.0,1173.0
111,2020-05-12,7.0,0.0,22190.0,1155.0
112,2020-05-13,6.0,0.0,20958.0,1149.0
113,2020-05-14,5.0,0.0,27617.0,1213.0
114,2020-05-15,9.0,0.0,25300.0,1178.0
115,2020-05-16,6.0,0.0,25101.0,1247.0
116,2020-05-17,10.0,0.0,19004.0,1126.0
117,2020-05-18,9.0,0.0,21769.0,1079.0
118,2020-05-19,0.0,0.0,20449.0,1082.0
119,2020-05-20,0.0,0.0,23807.0,1082.0
120,2020-05-21,0.0,0.0,25355.0,1167.0
121,2020-05-22,18.0,1.0,24141.0,1205.0
122,2020-05-23,3.0,0.0,21823.0,1204.0
123,2020-05-24,11.0,0.0,20813.0,955.0
124,2020-05-25,7.0,0.0,18991.0,1013.0
125,2020-05-26,1.0,0.0,18883.0,971.0
126,2020-05-27,3.0,0.0,18282.0,899.0
127,2020-05-28,0.0,0.0,22815.0,987.0
128,2020-05-29,17.0,1.0,24504.0,933.0
129,2020-05-30,5.0,0.0,24450.0,772.0
130,2020-05-31,18.0,0.0,19910.0,798.0
